TimeStamp,Challengee,Street,City,Witnesses
2022-01-07-09:31:28,112MpWVBGqC4gye1x3oY3t6ycc9zsKAEBZtihcnf8cfUVYY6cT1X,Fordham St,East Palo Alto,18
2022-01-07-10:25:18,1128UmsT6TrhjE7KDp48io3sZwrzYAuEZXU2VyZJayRTN3V2pE3g,Fordham St,East Palo Alto,18
2022-01-08-05:33:08,112mynbqP9xibZamCqbWsEdKY9TCLFZUNHMMZeBbrbwi2roSZckU,Lakeview Blvd,Fremont,18
2022-01-08-05:39:55,112AfwJvWHVVPjEgD6QDDH2gnwc7Y9yzeonUbNrjL9mBL957CuvA,Vargas Rd,Fremont,18
2022-01-08-07:06:20,11PqNzx1nNqgCkKnR3NsJo1TM1aR7VunGqYwbaQyDgBxjX2Xmfu,Huddleson St,Fremont,18
2022-01-08-10:40:12,11Z3g2NNnFedUVmqbgYUtDDMuxqz8jKwHELGB3pU1zosMkCRxKS,Unnamed Road,San Jose,18
2022-01-08-10:51:12,112UxCS4wMf67JgRNtc1kwvES9zApuAMp29yj5Teq27NDdiXSmTz,Clara Ct,Fremont,18
2022-01-08-12:54:04,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,18
2022-01-08-01:22:04,11B6HrpNdK5WUPQxYwdNnZ8r5tfYxddzRm1FkXg3TCA188qXm1R,Little Foot Dr,Fremont,18
2022-01-08-02:10:58,1123jbhCwGav1L6zK93LbW2QDcZaP1LMZs8RZDQvewanXaF78vUA,Orleans Dr,Sunnyvale,18
2022-01-08-06:23:02,112VHdGFV768wbLAN61fVfAJFH9sApqksT4S9kvhknuQQKnzcWao,Los Gatos Creek Trail,Los Gatos,18
2022-01-10-06:26:00,112oHa5VCepttC1oRCEB18XqSmptvKyBShrd569a6K2RCBpdrg9f,Pine Grove Ct,San Jose,18
2022-01-08-07:52:01,1123jbhCwGav1L6zK93LbW2QDcZaP1LMZs8RZDQvewanXaF78vUA,Orleans Dr,Sunnyvale,18
2022-01-09-03:01:06,1123jbhCwGav1L6zK93LbW2QDcZaP1LMZs8RZDQvewanXaF78vUA,Orleans Dr,Sunnyvale,18
2022-01-10-08:29:46,112oHa5VCepttC1oRCEB18XqSmptvKyBShrd569a6K2RCBpdrg9f,Pine Grove Ct,San Jose,18
2022-01-10-10:52:05,112UchRSkYZkmedmpRWrr1dS6V7N63XXNuT2yN8asLUxNW928cqE,El Bosque St,San Jose,18
2022-01-10-09:31:08,112M6s5bxAEMhyBxb3BHYViG9Th8q6XjfvJDM8d46qVLUYJWXmw7,Cactus St,Fremont,18
2022-01-13-09:39:24,112SEmS1c5sS7mkDtAFUM5KrmU24L79VgmLNE8cPhQeuQu7hk5wd,Irlanda Way,San Jose,18
2022-01-13-12:02:58,11m9PH2zkGYxcrXhoFBNbZT1yaJT6PmCK5XJw9W9DRomoFM1BAp,Christy St,Fremont,18
2022-01-13-03:45:01,112PNfW368cS3eWszHdNQ7VJurdsXvrhSiZrjX8bUua85DowCgPf,Porto Marino Dr,San Carlos,18
2022-01-13-04:22:55,112SEmS1c5sS7mkDtAFUM5KrmU24L79VgmLNE8cPhQeuQu7hk5wd,Irlanda Way,San Jose,18
2022-01-14-07:50:39,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,18
2022-01-14-11:33:12,11B6HrpNdK5WUPQxYwdNnZ8r5tfYxddzRm1FkXg3TCA188qXm1R,Little Foot Dr,Fremont,18
2022-01-14-02:01:38,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,18
2022-01-14-03:25:21,112VHdGFV768wbLAN61fVfAJFH9sApqksT4S9kvhknuQQKnzcWao,Los Gatos Creek Trail,Los Gatos,18
2022-01-14-05:41:26,112mynbqP9xibZamCqbWsEdKY9TCLFZUNHMMZeBbrbwi2roSZckU,Lakeview Blvd,Fremont,18
2022-01-14-09:14:54,115YPzkTofwkcb19MqqnP9XagXEWsTERz1PmPccgQVgXfw6sFtv,Town Centre Court,Toronto,18
2022-01-14-11:16:45,112iSDfuSuDx9Dsi32jZvPhiJDDHo7KnG9t5D8kZYqpTXEWFXhqV,Rutherford Terrace,Fremont,18
2022-01-15-06:01:20,1129jzq9PYaDRk9QjYSGCagmwRTCiJhdDFUYHrGaLWCv6NNoFE7w,Runnymede St,East Palo Alto,18
2022-01-15-09:28:20,11B6HrpNdK5WUPQxYwdNnZ8r5tfYxddzRm1FkXg3TCA188qXm1R,Little Foot Dr,Fremont,18
2022-01-15-10:15:52,1127pK5zDVwhn4nEtyn1UGJDtYKz5DoVXwoxgdURvB9sSB3EJci3,Vermont St,San Jose,18
2022-01-15-01:14:46,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,18
2022-01-12-07:55:50,11LSntP6DsMmYG6dh7hH1TZeDSmQZfQThf8T3hWvP3m8KN64Hsy,N Milpitas Blvd,Milpitas,18
2022-01-12-07:37:25,11Rb62d8ASYQnDpGWkN5unsEBZo1RnAsBhghfxkELQkqhwmukjJ,De Bell Rd,Los Altos Hills,18
2022-01-12-05:18:51,117kJ6Wtmt9bGgGS7oyAsKudhQBZQCc7ESAqoANuAHPAFtQKEVC,Castro Ln,Fremont,18
2022-01-12-06:16:39,112MpWVBGqC4gye1x3oY3t6ycc9zsKAEBZtihcnf8cfUVYY6cT1X,Fordham St,East Palo Alto,18
2022-01-10-11:13:34,112MTg3bBNKCPWSp6wSiYrN8HTQXroXqeMVLYhwunHuUVdpTpT9E,Newport Dr,Fremont,18
2022-01-10-02:55:25,112iEA4kCYbZ3wsm64WKMWo5B7ksAef2p3ktScsrXX44vzBN3PNo,31st Ave,San Mateo,18
2022-01-11-03:25:13,1123jbhCwGav1L6zK93LbW2QDcZaP1LMZs8RZDQvewanXaF78vUA,Orleans Dr,Sunnyvale,18
2022-01-11-03:27:43,112U6CXTJHPgnQaoTySG2pZ6ujSnfdtm5JXSxUdeUbVLGGd8xTf,Hochler Dr,Fremont,18
2022-01-11-03:58:45,112YsoMTfsod41yThFRd9tFTsP5jpTdAvK9L6Vgesgsd4fRnez3d,Stanford Ave,Fremont,18
2022-01-11-05:59:53,112r6GX4kXu1YYTfdyzDJ7Q7km1abVZ7oU61zTyaoHkkj8nqULzj,S Winchester Blvd,Campbell,18
2022-01-11-08:37:54,112j1hwF1FEW8WC6VYd5J2tUp7dD9FBbFac813QAsKfPRi338xR7,W Weddell Dr,Sunnyvale,18
2022-01-10-09:08:57,11pKXH53wxxKFRR8rkU5jr5ekLhM9u6183oGKYujueNBVmsjPX3,Sunrise Dr,Woodside,18
2022-01-11-11:44:35,112YsoMTfsod41yThFRd9tFTsP5jpTdAvK9L6Vgesgsd4fRnez3d,Stanford Ave,Fremont,18
2022-01-11-03:45:56,112j1hwF1FEW8WC6VYd5J2tUp7dD9FBbFac813QAsKfPRi338xR7,W Weddell Dr,Sunnyvale,18
2022-01-11-08:20:04,1112b6E8FGXnjwB8dbaJWBSLtk5yr9koUmEhznu9UTb4XJn498h,Oakridge Dr,Fremont,18
2022-01-11-09:39:01,112SEmS1c5sS7mkDtAFUM5KrmU24L79VgmLNE8cPhQeuQu7hk5wd,Irlanda Way,San Jose,18
2022-01-12-12:26:31,112r6GX4kXu1YYTfdyzDJ7Q7km1abVZ7oU61zTyaoHkkj8nqULzj,S Winchester Blvd,Campbell,18
2022-01-12-01:50:37,112FWm3e6WUQrwo4a3bMFVVscgY5GPSrMPyLVLdhCQmjD7rKcV44,Lincoln St,Fremont,18
2022-01-12-02:48:26,11LTuMKBH6bhn788qjp8FBm1UgJyQBFrGVgij2KvNZxZBrS41wr,Bay Area Ridge Trail,Fremont,18
2022-01-12-03:07:00,112UchRSkYZkmedmpRWrr1dS6V7N63XXNuT2yN8asLUxNW928cqE,El Bosque St,San Jose,18
2022-01-11-11:58:46,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,18
2022-01-07-05:39:27,11LTuMKBH6bhn788qjp8FBm1UgJyQBFrGVgij2KvNZxZBrS41wr,Bay Area Ridge Trail,Fremont,18
